date,session,number,bill,question,result,description,yeatotal,naytotal
2009-01-28,1,22,H.R. 2,On the Amendment S.Amdt. 46,Rejected,"Kyl Amdt. No. 46; To reinstate the crowd out policy agreed to in section 116 of H.R. 3963 (CHIPRA II), as agreed to and passed by the House and Senate.",42,56
2009-01-28,1,23,H.R. 2,On the Amendment S.Amdt. 77,Rejected,Murkowski Amdt. No. 77; To provide for the development of best practice recommendations and to ensure coverage of low income children.,47,51
2009-01-29,1,24,H.R. 2,On the Amendment S.Amdt. 47,Rejected,Coburn Amdt. No. 47; To ensure that children do not lose their private insurance and that uninsured children can get access to private insurance.,36,62
2009-01-29,1,25,H.R. 2,On the Motion to Table S.Amdt. 74,Agreed to,Motion to Table Bunning Amdt. No. 74 as Modified; To eliminate any exceptions to the prohibition on States receiving an enhanced Federal matching rate for providing coverage to children whose family income exceeds 300 percent of the poverty line.,54,44
2009-01-29,1,26,H.R. 2,On the Amendment S.Amdt. 80,Rejected,Hatch Amdt. No. 80; To codify regulations specifying that an unborn child is eligible for child health assistance.,39,59
2009-01-29,1,27,H.R. 2,On the Amendment S.Amdt. 85,Rejected,DeMint Amdt. No. 85; To provide an above-the-line Federal income tax deduction for health care costs of certain children in an amount comparable to the average federal share of the benefit provided to any non-citizen child for medical assistance or child health assistance.,40,58
2009-01-29,1,28,H.R. 2,On the Amendment S.Amdt. 86,Rejected,Coburn Amdt. No. 86; To ensure that American children have high-quality health coverage that fits their individual needs.,36,62
2009-01-29,1,29,H.R. 2,On the Amendment S.Amdt. 63,Agreed to,Bingaman Amdt. No. 63 as Modified; To clarify that new paperwork and enrollment barriers are not created in the Express Lane Enrollment option and that income may be determined by Express Lane agencies based on State income tax records or returns.,55,43
2009-01-29,1,30,H.R. 2,On the Amendment S.Amdt. 93,Rejected,Hutchison Amdt. No. 93; To provide assistance for States with percentages of children with no health insurance coverage above the national average.,17,81
2009-01-29,1,31,H.R. 2,On Passage of the Bill,Passed,H.R. 2 as Amended; Children's Health Insurance Program Reauthorization Act of 2009,66,32
2009-02-02,1,32,PN64-7,On the Nomination,Confirmed,"Confirmation Eric H. Holder, Jr., of the District of Columbia, to be Attorney General",75,21
2009-02-03,1,33,H.R. 1,On the Motion S.Amdt. 110,Rejected,Motion to Waive CBA Re: Murray Amdt. No. 110 Emergency Designation; To strengthen the infrastructure investments made by the bill.,58,39
2009-02-03,1,34,H.R. 1,On the Amendment S.Amdt. 109,Agreed to,Coburn Amdt. No. 109; To strike the $246 million tax earmark for Hollywood production companies.,52,45
2009-02-03,1,35,H.R. 1,On the Motion S.Amdt. 104,Agreed to,"Motion to Waive Sec. 201 of S. Con. Res. 21, 110th Congress Re: Mikulski Amdt. 104; To amend the Internal Revenue Code of 1986 to allow an above-the-line deduction against individual income tax for interest on indebtedness and for State sales and excise taxes with respect to the purchase of certain motor vehicles.",71,26
2009-02-03,1,36,H.R. 1,On the Motion S.Amdt. 112,Rejected,"Motion to Waive Sec. 201 of S. Con. Res. 21, 110th Congress Re: Boxer Amdt. No. 112; To amend the Internal Revenue Code of 1986 to allow the deduction for dividends received from controlled foreign corporations for an additional year, and for other purposes.",42,55
2009-02-04,1,37,H.R. 1,On the Amendment S.Amdt. 179,Rejected,Vitter Amdt. No. 179; To eliminate unnecessary spending.,32,65
2009-02-04,1,38,H.R. 1,On the Motion S.Amdt. 168,Rejected,"Motion to Waive Sec. 201 of S. Con. Res. 21, 110th Congress, Re: DeMint Amdt. No. 168; In the nature of a substitute.",36,61
2009-02-04,1,39,H.R. 1,On the Amendment S.Amdt. 238,Rejected,Thune Amdt. No. 238; To ensure that the $1 trillion spending bill is not used to expand the scope of the Federal Government by adding new spending programs.,35,62
2009-02-04,1,40,H.R. 1,On the Motion S.Amdt. 278,Rejected,Motion to Waive CBA Re: McCain Amdt. No. 278; To reimplement Gramm-Rudman-Hollings to require deficit reduction and spending cuts upon 2 consecutive quarters of positive GDP growth.,44,53
2009-02-04,1,41,H.R. 1,On the Motion S.Amdt. 262,Rejected,"Motion to Waive CBA Inhofe Amdt. No. 262; To appropriate, with an offset, $5,232,000,000 for procurement for the Department of Defense to reconstitute military units to an acceptable readiness rating and to restock prepositioned assets and war reserve material.",38,59
2009-02-04,1,42,H.R. 1,On the Motion S.Amdt. 277,Rejected,"Motion to Waive Sec. 201 of S. Con. Res. 21, 110th Congress, Re: Cornyn Amdt. No. 277; To reduce income taxes for all working taxpayers.",37,60
2009-02-04,1,43,H.R. 1,On the Motion S.Amdt. 242,Rejected,"Motion to Waive Section 201, S. Con. Res. 21, 110th Congress, Bunning Amdt. No. 242; To amend the Internal Revenue Code of 1986 to suspend for 2009 the 1993 income tax increase on Social Security benefits, and for other purposes.",39,57
2009-02-04,1,44,H.R. 1,On the Amendment S.Amdt. 279,Rejected,McCain Amdt. No. 279; To prohibit the applicability of Buy American requirements in the Act to the utilization of funds provided by the Act.,31,65
2009-02-05,1,45,H.R. 1,On the Motion S.Amdt. 364,Rejected,Motion to Waive CBA McCain Amdt. No. 364 As Modified; In the nature of a substitute.,40,57
2009-02-05,1,46,H.R. 1,On the Amendment S.Amdt. 140,Rejected,Feingold Amdt. No. 140; To provide greater accountability of taxpayers' dollars by curtailing congressional earmarking and requiring disclosure of lobbying by recipients of Federal funds.,32,65
2009-02-05,1,47,H.R. 1,On the Amendment S.Amdt. 189,Rejected,DeMint Amdt. No. 189; To allow the free exercise of religion at institutions of higher education that receive funding under section 803 of division A.,43,54
2009-02-05,1,48,H.R. 1,On the Motion S.Amdt. 353,Rejected,Motion to Waive CBA Ensign Amdt. No. 353; In the nature of a substitute.,35,62
2009-02-05,1,49,H.R. 1,On the Motion S.Amdt. 197,Rejected,Motion to Waive CBA Thune Amdt. No. 197; In the nature of a substitute.,37,60
2009-02-05,1,50,H.R. 1,On the Motion S.Amdt. 176,Rejected,"Motion to Table Coburn Amdt. No. 176; To require the use of competitive procedures to award contracts, grants, and cooperative agreements funded under this Act.",1,96
2009-02-06,1,51,H.R. 1,On the Amendment S.Amdt. 309,Agreed to,Coburn Amdt. No. 309; To ensure that taxpayer money is not lost on wasteful and non-stimulative projects.,73,24
2009-02-06,1,52,H.R. 1,On the Amendment S.Amdt. 176,Agreed to,"Coburn Amdt. No. 176; To require the use of competitive procedures to award contracts, grants, and cooperative agreements funded under this Act.",97,0
2009-02-06,1,53,H.R. 1,On the Amendment S.Amdt. 501,Rejected,"Graham Amdt. No. 501 As Modified; To limit wasteful spending, to fund a systematic program of foreclosure prevention, to be administered by the Federal Deposit Insurance Corporation, and for other purposes.",39,57
2009-02-06,1,54,H.R. 1,On the Amendment S.Amdt. 297,Rejected,Grassley Amdt. No. 297; To provide the same temporary increase in the FMAP for all States and to permit States to choose the period through June 2011 for receiving the increase.,47,49
2009-02-06,1,55,H.R. 1,On the Motion S.Amdt. 274,Agreed to,Motion to Waive CBA Re: Cantwell Amdt. No. 274; To improve provisions relating to energy tax incentives and provisions relating manufacturing tax incentives for energy property.,80,16
2009-02-06,1,56,H.R. 1,On the Amendment S.Amdt. 107,Rejected,Vitter Amdt. No. 107; Prohibiting direct or indirect use of funds to fund the Association of Community Organizations for Reform Now (ACORN).,45,51
2009-02-06,1,57,H.R. 1,On the Amendment S.Amdt. 531,Rejected,Bunning Amdt. No. 531; To temporarily increase the limitations on offsetting ordinary income with capital losses and to strike the 5-year carry back of general business credits.,41,55
2009-02-06,1,58,H.R. 1,On the Motion S.Amdt. 538,Rejected,"Motion to Waive Sec. 201, S. Con. Res. 21, 110th Congress Thune Amdt. No. 538; To replace all spending and tax provisions with a direct rebate to all Americans filing a tax return.",35,61
2009-02-09,1,59,H.R. 1,On the Cloture Motion S.Amdt. 570,Agreed to,Motion to Invoke Cloture on Collins-Nelson (NE) Amdt. No. 570 to H.R. 1; In the nature of a substitute.,61,36
2009-02-10,1,60,H.R. 1,On the Motion S.Amdt. 570,Agreed to,"Motion to Waive Sec. 201 of S. Con. Res. 21, 110th Congress Re: Amdt. No. 570; In the nature of a substitute.",61,37
2009-02-10,1,61,H.R. 1,On Passage of the Bill,Passed,H.R. 1 as Amended; American Recovery and Reinvestment Act of 2009,61,37
2009-02-11,1,62,PN65-11,On the Nomination,Confirmed,"Confirmation William J. Lynn, III, of Virginia, to the Deputy Secretary of Defense",93,4
2009-02-13,1,63,H.R. 1,On the Motion,Agreed to,"Motion to Waive Sec. 204(a)(5)(A) of S.Con.Res. 21, 110th Congress; American Recovery and Reinvestment Act of 2009",60,38
2009-02-13,1,64,H.R. 1,On the Conference Report,Agreed to,Conference Report; American Recovery and Reinvestment Act of 2009,60,38
2009-02-24,1,65,S. 160,On Cloture on the Motion to Proceed,Agreed to,Motion to Invoke Cloture on the Motion to Proceed to Consider S. 160; District of Columbia House Voting Rights Act of 2009,62,34
2009-02-24,1,66,PN64-18,On the Nomination,Confirmed,"Confirmation Hilda L. Solis of California, to be Secretary of Labor",80,17
2009-02-25,1,67,S. 160,On the Point of Order,Not Well Taken,Is The Constitutional Point of Order Well Taken?; District of Columbia House Voting Rights Act of 2009,36,62
2009-02-25,1,68,S. 160,On the Amendment S.Amdt. 581,Rejected,Coburn Amdt. No. 581; In the nature of a substitute.,7,91
2009-02-26,1,69,S. 160,On the Amendment S.Amdt. 585,Rejected,"Kyl Amdt. No. 585; To provide for the retrocession of the District of Columbia to the State of Maryland, and for other purposes.",30,67
2009-02-26,1,70,S. 160,On the Amendment S.Amdt. 591,Agreed to,"Durbin Amdt. No. 591; To encourage and promote diversity in communication media ownership, and to ensure that the public airwaves are used in the public interest.",57,41
2009-02-26,1,71,S. 160,On the Amendment S.Amdt. 573,Agreed to,DeMint Amdt. No. 573; To prevent the Federal Communications Commission from repromulgating the fairness doctrine.,87,11
2009-02-26,1,72,S. 160,On the Amendment S.Amdt. 575,Agreed to,Ensign Amdt. No. 575; To restore Second Amendment rights in the District of Columbia.,62,36
2009-02-26,1,73,S. 160,On Passage of the Bill,Passed,S. 160 As Amended; District of Columbia House Voting Rights Act of 2009,61,37
2009-03-03,1,74,H.R. 1105,On the Amendment S.Amdt. 592,Rejected,McCain Amdt. No. 592; In the nature of a substitute.,32,63
2009-03-03,1,75,H.R. 1105,On the Motion,Rejected,"Ensign Motion to Commit with Instructions re: H.R. 1105; Omnibus Appropriations Act, 2009",33,61
2009-03-03,1,76,H.R. 1105,On the Motion,Rejected,"Hutchison Motion to Commit with Instructions re: H.R. 1105; Omnibus Appropriations Act, 2009",40,55
2009-03-04,1,77,H.R. 1105,On the Amendment S.Amdt. 596,Rejected,"Coburn Amdt. No. 596; To require the use of competitive procedures to award contracts, grants, and cooperative agreements funded under this Act.",38,57
2009-03-04,1,78,H.R. 1105,On the Amendment S.Amdt. 608,Rejected,Coburn Amdt. No. 608; To provide funds for the Emmett Till Unsolved Civil Rights Crime Act from funds already provided for the Weed and Seed Program.,37,58
2009-03-04,1,79,H.R. 1105,On the Amendment S.Amdt. 610,Rejected,Coburn Amdt. No. 610; To prohibit funding for congressional earmarks for wasteful and parochial pork projects.,34,61
2009-03-04,1,80,H.R. 1105,On the Amendment S.Amdt. 623,Rejected,Coburn Amdt. No. 623 as Modified; To prohibit taxpayer dollars from being earmarked to 14 clients of a lobbying firm under Federal investigation for making campaign donations in exchange for political favors for the group's clients.,43,52
2009-03-05,1,81,H.R. 1105,On the Amendment S.Amdt. 607,Rejected,Wicker Amdt. No. 607 as Modified; To require that amounts appropriated for the United Nations Population Fund are not used by organizations which support coercive abortion or involuntary sterilization.,39,55
2009-03-05,1,82,H.R. 1105,On the Amendment S.Amdt. 599,Rejected,Murkowski Amdt. No. 599; To modify a provision relating to the repromulgation of final rules by the Secretary of the Interior and the Secretary of Commerce.,42,52
2009-03-05,1,83,H.R. 1105,On the Amendment S.Amdt. 613,Rejected,Inhofe Amdt. No. 613; To provide that no funds may be made available to make any assessed contribution or voluntary payment of the United Nations if the United Nations implements or imposes any taxation on any United States persons.,43,51
2009-03-05,1,84,H.R. 1105,On the Motion S.Amdt. 635,Rejected,"Motion to Waive the CBA re: Thune Amdt. No. 635 as Modified; To provide funding for the Emergency Fund for Indian Safety and Health, with an offset.",26,68
2009-03-05,1,85,H.R. 1105,On the Amendment S.Amdt. 634,Rejected,Kyl Amdt. No. 634; To prohibit the expenditure of amounts made available under this Act in a contract with any company that has a business presence in Iran's energy sector.,41,53
2009-03-09,1,86,H.R. 1105,On the Amendment S.Amdt. 593,Rejected,McCain Amdt. No. 593; To prohibit the use of funds provided in the bill.,32,63
2009-03-09,1,87,H.R. 1105,On the Amendment S.Amdt. 630,Rejected,Kyl Amdt. No. 630; To require a report on counter-smuggling efforts in Gaza.,34,61
2009-03-09,1,88,H.R. 1105,On the Amendment S.Amdt. 631,Rejected,Kyl Amdt. No. 631; To require the Secretary of State to certify that funds made available for reconstruction efforts in Gaza will not be diverted to Hamas or entities controlled by Hamas.,39,56
2009-03-09,1,89,H.R. 1105,On the Amendment S.Amdt. 668,Rejected,Enzi Amdt. No. 668; To prohibit the use of funds to modify certain HIV/AIDS funding formulas.,42,53
2009-03-10,1,90,H.R. 1105,On the Amendment S.Amdt. 673,Rejected,Cornyn Amdt. No. 673; To prevent collection of excessive contingency legal fees by lawyers hired to protect the public interest.,32,64
2009-03-10,1,91,H.R. 1105,On the Amendment S.Amdt. 674,Rejected,Cornyn Amdt. No. 674; To prohibit the use of funds to implement an Executive Order relating to employee notice of rights under Federal labor laws.,38,59
2009-03-10,1,92,H.R. 1105,On the Amendment S.Amdt. 662,Rejected,Thune Amdt. No. 662; To prohibit the use of funds by the Federal Communications Commission to repromulgate the Fairness Doctrine.,47,50
2009-03-10,1,93,H.R. 1105,On the Motion to Table S.Amdt. 604,Agreed to,Motion To Table Sessions Amdt. No. 604; To extend the pilot program for employment eligibility confirmation established in title IV of the Illegal Immigration Reform and Immigrant Responsibility Act of 1966 for 6 years.,50,47
2009-03-10,1,94,H.R. 1105,On the Amendment S.Amdt. 615,Rejected,Ensign Amdt. No. 615; To strike the restrictions on the District of Columbia Opportunity Scholarship Program.,39,58
2009-03-10,1,95,H.R. 1105,On the Motion to Table S.Amdt. 621,Agreed to,Motion To Table Vitter Amdt. No. 621; To repeal the provision of law that provides automatic pay adjustments for Members of Congress.,52,45
2009-03-10,1,96,H.R. 1105,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture on H.R. 1105; Omnibus Appropriations Act, 2009",62,35
2009-03-12,1,97,PN68,On the Nomination,Confirmed,"Confirmation David W. Ogden, of Virginia, to be Deputy Attorney General",65,28
2009-03-12,1,98,PN71,On the Nomination,Confirmed,"Confirmation Thomas John Perrelli, Of Virginia, To be Associate Attorney General",72,20
2009-03-16,1,99,H.R. 146,On the Cloture Motion,Agreed to,Motion to Invoke Cloture on the Motion to Proceed to Consider H.R. 146; Omnibus Public Land Management Act of 2009,73,21
2009-03-18,1,100,PN64-9,On the Nomination,Confirmed,"Confirmation Ronald Kirk, of Texas, to be U.S. Trade Representative",92,5
2009-03-18,1,101,H.R. 146,On the Motion to Table S.Amdt. 680,Agreed to,Motion to Table Coburn Amdt. No. 680; To ensure that the general public has full access to our national parks and to promote the health and safety of all visitors and employees of the National Park Service.,79,19
2009-03-18,1,102,H.R. 146,On the Motion to Table S.Amdt. 679,Agreed to,Motion to Table Coburn Amdt. No. 679; To provide for the future energy needs of the United States and eliminate restrictions on the development of renewable energy.,65,33
2009-03-18,1,103,H.R. 146,On the Motion to Table S.Amdt. 675,Agreed to,Motion to Table Coburn Amdt. No. 675; To prohibit the use of eminent domain and to ensure that no American has their property forcibly taken from them by authorities granted under this Act.,63,35
2009-03-19,1,104,H.R. 146,On the Motion to Table S.Amdt. 677,Agreed to,Motion to Table Coburn Amdt. No. 677; To require Federal agencies to determine on an annual basis the quantity of land that is owned by each Federal agency and the cost to taxpayers of the ownership of the land.,58,39
2009-03-19,1,105,H.R. 146,On the Motion to Table S.Amdt. 683,Agreed to,Motion to Table Coburn Amdt. No. 683; To prohibit funding for congressional earmarks for wasteful and parochial pork projects.,70,27
2009-03-19,1,106,H.R. 146,On Passage of the Bill,Passed,H.R. 146 as Amended; Omnibus Public Land Management Act of 2009,77,20
2009-03-19,1,107,PN67,On the Nomination,Confirmed,"Confirmation Elena Kagan, of Massachusetts, to be Solicitor General",61,31
2009-03-23,1,108,H.R. 1388,On Cloture on the Motion to Proceed,Agreed to,Motion to Invoke Cloture on the Motion to Proceed to H.R. 1388; Serve America Act,74,14
2009-03-25,1,109,PN80,On the Nomination,Confirmed,"Confirmation David S. Kris, of Maryland, to be Assistant Attorney General",97,0
2009-03-25,1,110,H.R. 1388,On the Motion S.Amdt. 688,Rejected,"Motion to Waive CBA Re: Crapo Amdt. No. 688; To increase the borrowing authority of the Federal Deposit Insurance Corporation, and for other purposes.",48,49
2009-03-25,1,111,H.R. 1388,On the Motion to Table S.Amdt. 715,Agreed to,"Motion to Table Ensign Amdt. No. 715 As Modified; To clarify that nonprofit organizations assisted under the Nonprofit Capacity Building Program include certain crisis pregnancy centers, and organizations that serve battered women or victims of rape or incest.",56,41
2009-03-26,1,112,H.R. 1388,On the Amendment S.Amdt. 721,Agreed to,Baucus Amdt. No. 721; To express the sense of the Senate regarding the Federal income tax deduction for charitable giving.,56,41
2009-03-26,1,113,H.R. 1388,On the Amendment S.Amdt. 716,Rejected,Thune Amdt. No. 716; To express the sense of the Senate regarding the Federal income tax deduction for charitable giving.,48,49
2009-03-26,1,114,H.R. 1388,On the Motion to Table S.Amdt. 705,Agreed to,"Motion to Table Vitter Amdt. No. 705; To prohibit ACORN, or organizations affiliated or co-located with ACORN, from receiving assistance under this Act.",53,43
2009-03-26,1,115,H.R. 1388,On Passage of the Bill,Passed,H.R. 1388 As Amended; Serve America Act,79,19
2009-03-31,1,116,S.Con.Res. 13,On the Amendment S.Amdt. 749,Agreed to,Boxer Amdt. No. 749; To require that certain legislation relating to clean energy technologies not increase electricity or gasoline prices or increase the overall burden on consumers.,54,43
2009-03-31,1,117,S.Con.Res. 13,On the Amendment S.Amdt. 731,Agreed to,Thune Amdt. No. 731; To amend the deficit-neutral reserve fund for climate change legislation to require that such legislation does not increase electricity or gasoline prices.,89,8
2009-03-31,1,118,S.Con.Res. 13,On the Amendment S.Amdt. 739,Rejected,"Gregg Amdt. No. 739; To prohibit the consideration of any budget resolution, or amendment thereto, or conference report thereon, that shows an increase in the public debt, for the period of the current fiscal year through the next 10 years, equal to or greater than the debt accumulated from 1789 to January 20, 2009.",43,54
2009-04-01,1,119,S.Con.Res. 13,On the Amendment S.Amdt. 747,Rejected,Alexander Amdt. No. 747; To create runaway debt point of order against consideration of a budget resolution that projects the ratio of public debt to GDP for any fiscal year in excess of 90% to ensure the continued viability of US dollar and prevent doubling or tripling the debt burden on future generations.,43,55
2009-04-01,1,120,S.Con.Res. 13,On the Amendment S.Amdt. 772,Rejected,"Sessions Amdt. No. 772, As Modified; To restore the budget discipline of the Federal Government by freezing nondefense discretionary spending for fiscal years 2010 and 2011, and limiting the growth of nondefense discretionary spending to one percent annually for fiscal years 2012, 2013, and 2014.",40,58
2009-04-01,1,121,S.Con.Res. 13,On the Amendment S.Amdt. 804,Agreed to,"Ensign Amdt. No. 804; To protect middle-income taxpayers from tax increases by providing a point of order against legislation that increase taxes on them, including taxes that arise, directly or indirectly, from Federal revenues derived from climate change or similar legislation.",98,0
2009-04-01,1,122,S.Con.Res. 13,On the Amendment S.Amdt. 806,Agreed to,Cornyn Amdt. No. 806; To protect small businesses from higher taxes.,82,16
2009-04-01,1,123,S.Con.Res. 13,On the Amendment S.Amdt. 835,Rejected,Gregg Amdt. No. 835; To establish a deficit-neutral reserve fund to address our Nations long term fiscal problems.,44,54
2009-04-01,1,124,S.Con.Res. 13,On the Amendment S.Amdt. 844,Rejected,Crapo Amdt. No. 844; To protect the fiscal discipline on discretionary spending exercised by the reported budget resolution by extending the resolution's discretionary spending limits to exactly the same level as already assumed in the resolution to make sure that debt is not increased further than contemplated by this budget resolution as a result of subsequent budget resolution or appropriation bills.,43,55
2009-04-01,1,125,S.Con.Res. 13,On the Motion S.Amdt. 869,Rejected,Motion to Waive CBA re: Whitehouse Amdt. No. 869; Relative to a deficit-neutral reserve fund to invest in clean energy and preserve the environment.,42,56
2009-04-01,1,126,S.Con.Res. 13,On the Amendment S.Amdt. 735,Agreed to,Johanns Amdt. No. 735; To prohibit the use of reconciliation in the Senate for climate change legislation involving a cap and trade system.,67,31
2009-04-01,1,127,S.Con.Res. 13,On the Amendment S.Amdt. 793,Rejected,"Kyl Amdt. No. 793; To protect all patients by prohibiting the use of data obtained from comparative effectiveness research to deny coverage of items or services under Federal health care programs and to ensure that comparative effectiveness research accounts for advancements in genomics and personalized medicine, the unique needs of health disparity populations, and differences in the treatment response and the treatment preferences of patients.",44,54
2009-04-02,1,128,S.Con.Res. 13,On the Amendment S.Amdt. 805,Rejected,"Ensign Amdt. No. 805; To require certain higher-income beneficiaries enrolled in the Medicare prescription drug benefit to pay higher premiums, as is currently required for physicians' services and outpatient services, and as proposed in the budget of the United States Government most recently submitted by the President.",39,58
2009-04-02,1,129,S.Con.Res. 13,On the Amendment S.Amdt. 882,Rejected,"McCain Amdt. No. 882, as Modified; In the nature of a substitute.",38,60
2009-04-02,1,130,S.Con.Res. 13,On the Amendment S.Amdt. 913,Agreed to,Dodd Amdt. No. 913; To provide for enhanced oversight of the Board of Governors of the Federal Reserve System concerning the use of emergency economic assistance.,96,2
2009-04-02,1,131,S.Con.Res. 13,On the Amendment S.Amdt. 875,Agreed to,Sanders Amdt. No. 875; To require information from the Board of Governors of the Federal Reserve System about the use of emergency economic assistance.,59,39
2009-04-02,1,132,S.Con.Res. 13,On the Motion to Recommit,Rejected,"Johanns Motion to Recommit to the Committee on the Budget; An original concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2010, revising the appropriate budgetary levels for fiscal year 2009, and setting forth the appropriate budgetary levels for fiscal years 2011 through 2014.",43,55
2009-04-02,1,133,S.Con.Res. 13,On the Amendment S.Amdt. 949,Agreed to,Reed Amdt. No. 949; To provide for the expenditure of the remaining Troubled Asset Relief Program funds for the benefit of consumers.,56,42
2009-04-02,1,134,S.Con.Res. 13,On the Amendment S.Amdt. 787,Rejected,Vitter Amdt. No. 787; To end $272 billion in spending on bailouts under TARP and reduce record deficits and levels of debt.,28,70
2009-04-02,1,135,S.Con.Res. 13,On the Amendment S.Amdt. 910,Agreed to,Graham Amdt. No. 910; To protect middle-income taxpayers from a national energy tax.,65,33
2009-04-02,1,136,S.Con.Res. 13,On the Amendment S.Amdt. 931,Rejected,Landrieu Amdt. No. 931; To establish a deficit-neutral reserve fund for outer Continental Shelf oil and natural gas leasing revenues.,37,60
2009-04-02,1,137,S.Con.Res. 13,On the Amendment S.Amdt. 953,Agreed to,"Boxer Amdt. No. 953, as Modified; To add a deficit-neutral reserve fund for the 21st Century Community Learning Centers afterschool program.",89,9
2009-04-02,1,138,S.Con.Res. 13,On the Amendment S.Amdt. 803,Agreed to,"Thune Amdt. No. 803; To protect charitable giving by ensuring that organizations that provide important religious, educational, cultural, health care, and environmental services are not negatively impacted by changes to the Federal income tax deduction for charitable donations.",94,3
2009-04-02,1,139,S.Con.Res. 13,On the Amendment S.Amdt. 950,Rejected,Grassley Amdt. No. 950; To ensure that millions of middle-income families do not face an alternative minimum tax increase in 2013 and 2014 and that the budget resolution reflects that result.,40,58
2009-04-02,1,140,S.Con.Res. 13,On the Amendment S.Amdt. 811,Rejected,"Sanders Amdt. No. 811; To provide for a deficit-neutral reserve fund to establish a national usury law, and for other purposes.",31,67
2009-04-02,1,141,S.Con.Res. 13,On the Amendment S.Amdt. 879,Agreed to,Stabenow Amdt. No. 879; To modify the authorization for climate change legislation.,73,25
