"Senator","Congress","Party"
"WELLS (Federalist DE)",5,"Federalist"
"GUNN (Federalist GA)",5,"Federalist"
"TATTNALL (R GA)",5,"R"
"BROWN (R KY)",5,"R"
"MARSHALL (Federalist KY)",5,"Federalist"
"HOWARD (Federalist MD)",5,"Federalist"
"HENRY (Federalist MD)",5,"Federalist"
"LLOYD (Federalist MD)",5,"Federalist"
"SEDGWICK (Federalist MA)",5,"Federalist"
"GOODHUE (Federalist MA)",5,"Federalist"
"LIVERMORE (Federalist NH)",5,"Federalist"
"LANGDON (R NH)",5,"R"
"STOCKTON (Federalist NJ)",5,"Federalist"
"RUTHERFURD (Federalist NJ)",5,"Federalist"
"DAVENPORT (Federalist NJ)",5,"Federalist"
"LAURANCE (Federalist NY)",5,"Federalist"
"SCHUYLER (Federalist NY)",5,"Federalist"
"HOBART (Federalist NY)",5,"Federalist"
"NORTH (Federalist NY)",5,"Federalist"
"WATSON (Federalist NY)",5,"Federalist"
"BLOODWORTH (R NC)",5,"R"
"MARTIN (R NC)",5,"R"
"ROSS (Federalist PA)",5,"Federalist"
"BINGHAM (Federalist PA)",5,"Federalist"
"FOSTER (Federalist RI)",5,"Federalist"
"BRADFORD (Federalist RI)",5,"Federalist"
"GREENE (Federalist RI)",5,"Federalist"
"READ (Federalist SC)",5,"Federalist"
"HUNTER (R SC)",5,"R"
"PINCKNEY (R SC)",5,"R"
"BLOUNT (R TN)",5,"R"
"COCKE (R TN)",5,"R"
"JACKSON (R TN)",5,"R"
"ANDERSON (R TN)",5,"R"
"SMITH (R TN)",5,"R"
"PAINE (Federalist VT)",5,"Federalist"
"TICHENOR (Federalist VT)",5,"Federalist"
"CHIPMAN (Federalist VT)",5,"Federalist"
"TAZEWELL (R VA)",5,"R"
"MASON (R VA)",5,"R"
"TRACY (Federalist CT)",6,"Federalist"
"HILLHOUSE (Federalist CT)",6,"Federalist"
"WELLS (Federalist DE)",6,"Federalist"
"LATIMER (Federalist DE)",6,"Federalist"
"GUNN (Federalist GA)",6,"Federalist"
"BALDWIN (R GA)",6,"R"
"MARSHALL (Federalist KY)",6,"Federalist"
"BROWN (R KY)",6,"R"
"HOWARD (Federalist MD)",6,"Federalist"
"LLOYD (Federalist MD)",6,"Federalist"
"HINDMAN (Federalist MD)",6,"Federalist"
"DEXTER (Federalist MA)",6,"Federalist"
"GOODHUE (Federalist MA)",6,"Federalist"
"FOSTER (Federalist MA)",6,"Federalist"
"MASON (Federalist MA)",6,"Federalist"
"LIVERMORE (Federalist NH)",6,"Federalist"
"LANGDON (R NH)",6,"R"
"DAYTON (Federalist NJ)",6,"Federalist"
"SCHUREMAN (Federalist NJ)",6,"Federalist"
"OGDEN (Federalist NJ)",6,"Federalist"
"WATSON (Federalist NY)",6,"Federalist"
"LAURANCE (Federalist NY)",6,"Federalist"
"MORRIS (Federalist NY)",6,"Federalist"
"ARMSTRONG (R NY)",6,"R"
"BLOODWORTH (R NC)",6,"R"
"FRANKLIN (R NC)",6,"R"
"ROSS (Federalist PA)",6,"Federalist"
"BINGHAM (Federalist PA)",6,"Federalist"
"FOSTER (Federalist RI)",6,"Federalist"
"GREENE (Federalist RI)",6,"Federalist"
"PINCKNEY (R SC)",6,"R"
"READ (Federalist SC)",6,"Federalist"
"COCKE (R TN)",6,"R"
"ANDERSON (R TN)",6,"R"
"PAINE (Federalist VT)",6,"Federalist"
"CHIPMAN (Federalist VT)",6,"Federalist"
"NICHOLAS (R VA)",6,"R"
"MASON (R VA)",6,"R"
"TRACY (Federalist CT)",7,"Federalist"
"HILLHOUSE (Federalist CT)",7,"Federalist"
"WHITE (Federalist DE)",7,"Federalist"
"WELLS (Federalist DE)",7,"Federalist"
"BALDWIN (R GA)",7,"R"
"JACKSON (R GA)",7,"R"
"BROWN (R KY)",7,"R"
"BRECKENRIDG (R KY)",7,"R"
"HOWARD (Federalist MD)",7,"Federalist"
"HINDMAN (Federalist MD)",7,"Federalist"
"WRIGHT (R MD)",7,"R"
"FOSTER (Federalist MA)",7,"Federalist"
"MASON (Federalist MA)",7,"Federalist"
"SHEAFE (Federalist NH)",7,"Federalist"
"PLUMER (Federalist NH)",7,"Federalist"
"OLCOTT (Federalist NH)",7,"Federalist"
"DAYTON (Federalist NJ)",7,"Federalist"
"OGDEN (Federalist NJ)",7,"Federalist"
"MORRIS (Federalist NY)",7,"Federalist"
"ARMSTRONG (R NY)",7,"R"
"CLINTON (R NY)",7,"R"
"STONE (R NC)",7,"R"
"FRANKLIN (R NC)",7,"R"
"ROSS (Federalist PA)",7,"Federalist"
"LOGAN (R PA)",7,"R"
"FOSTER (R RI)",7,"R"
"ELLERY (R RI)",7,"R"
"COLHOUN (R SC)",7,"R"
"PINCKNEY (R SC)",7,"R"
"SUMTER (R SC)",7,"R"
"COCKE (R TN)",7,"R"
"ANDERSON (R TN)",7,"R"
"CHIPMAN (Federalist VT)",7,"Federalist"
"BRADLEY (R VT)",7,"R"
"NICHOLAS (R VA)",7,"R"
"MASON (R VA)",7,"R"
"TRACY (Federalist CT)",8,"Federalist"
"HILLHOUSE (Federalist CT)",8,"Federalist"
"WHITE (Federalist DE)",8,"Federalist"
"WELLS (Federalist DE)",8,"Federalist"
"BAYARD (Federalist DE)",8,"Federalist"
"BALDWIN (R GA)",8,"R"
"JACKSON (R GA)",8,"R"
"BRECKINRIDG (R KY)",8,"R"
"BROWN (R KY)",8,"R"
"SMITH (R MD)",8,"R"
"WRIGHT (R MD)",8,"R"
"PICKERING (Federalist MA)",8,"Federalist"
"ADAMS (Federalist MA)",8,"Federalist"
"PLUMER (Federalist NH)",8,"Federalist"
"OLCOTT (Federalist NH)",8,"Federalist"
"DAYTON (Federalist NJ)",8,"Federalist"
"CONDIT (R NJ)",8,"R"
"CLINTON (R NY)",8,"R"
"BAILEY (R NY)",8,"R"
"SMITH (R NY)",8,"R"
"MITCHILL (R NY)",8,"R"
"ARMSTRONG (R NY)",8,"R"
"FRANKLIN (R NC)",8,"R"
"STONE (R NC)",8,"R"
"SMITH (R OH)",8,"R"
"WORTHINGTON (R OH)",8,"R"
"LOGAN (R PA)",8,"R"
"MACLAY (R PA)",8,"R"
"ELLERY (R RI)",8,"R"
"POTTER (R RI)",8,"R"
"HOWLAND (R RI)",8,"R"
"SUMTER (R SC)",8,"R"
"BUTLER (R SC)",8,"R"
"GAILLARD (R SC)",8,"R"
"ANDERSON (R TN)",8,"R"
"COCKE (R TN)",8,"R"
"SMITH (R VT)",8,"R"
"BRADLEY (R VT)",8,"R"
"NICHOLAS (R VA)",8,"R"
"MASON (R VA)",8,"R"
"TAYLOR (R VA)",8,"R"
"VENABLE (R VA)",8,"R"
"MOORE (R VA)",8,"R"
"GILES (R VA)",8,"R"
"HILLHOUSE (Federalist CT)",9,"Federalist"
"TRACY (Federalist CT)",9,"Federalist"
"WHITE (Federalist DE)",9,"Federalist"
"BAYARD (Federalist DE)",9,"Federalist"
"BALDWIN (R GA)",9,"R"
"JACKSON (R GA)",9,"R"
"MILLEDGE (R GA)",9,"R"
"THRUSTON (R KY)",9,"R"
"ADAIR (R KY)",9,"R"
"CLAY (R KY)",9,"R"
"SMITH (R MD)",9,"R"
"WRIGHT (R MD)",9,"R"
"REED (R MD)",9,"R"
"PICKERING (Federalist MA)",9,"Federalist"
"ADAMS (Federalist MA)",9,"Federalist"
"GILMAN (R NH)",9,"R"
"PLUMER (Federalist NH)",9,"Federalist"
"CONDIT (R NJ)",9,"R"
"KITCHELL (R NJ)",9,"R"
"SMITH (R NY)",9,"R"
"MITCHILL (R NY)",9,"R"
"TURNER (R NC)",9,"R"
"STONE (R NC)",9,"R"
"WORTHINGTON (R OH)",9,"R"
"SMITH (R OH)",9,"R"
"MACLAY (R PA)",9,"R"
"LOGAN (R PA)",9,"R"
"FENNER (R RI)",9,"R"
"HOWLAND (R RI)",9,"R"
"SUMTER (R SC)",9,"R"
"GAILLARD (R SC)",9,"R"
"ANDERSON (R TN)",9,"R"
"SMITH (R TN)",9,"R"
"BRADLEY (R VT)",9,"R"
"SMITH (R VT)",9,"R"
"GILES (R VA)",9,"R"
"MOORE (R VA)",9,"R"
"HILLHOUSE (Federalist CT)",10,"Federalist"
"GOODRICH (Federalist CT)",10,"Federalist"
"WHITE (Federalist DE)",10,"Federalist"
"BAYARD (Federalist DE)",10,"Federalist"
"MILLEDGE (R GA)",10,"R"
"JONES (R GA)",10,"R"
"CRAWFORD (R GA)",10,"R"
"POPE (R KY)",10,"R"
"THRUSTON (R KY)",10,"R"
"SMITH (R MD)",10,"R"
"REED (R MD)",10,"R"
"PICKERING (Federalist MA)",10,"Federalist"
"ADAMS (Federalist MA)",10,"Federalist"
"LLOYD (Federalist MA)",10,"Federalist"
"GILMAN (R NH)",10,"R"
"PARKER (R NH)",10,"R"
"CONDIT (R NJ)",10,"R"
"KITCHELL (R NJ)",10,"R"
"SMITH (R NY)",10,"R"
"MITCHILL (R NY)",10,"R"
"TURNER (R NC)",10,"R"
"FRANKLIN (R NC)",10,"R"
"TIFFIN (R OH)",10,"R"
"SMITH (R OH)",10,"R"
"MEIGS (R OH)",10,"R"
"GREGG (R PA)",10,"R"
"MACLAY (R PA)",10,"R"
"LEIB (R PA)",10,"R"
"HOWLAND (R RI)",10,"R"
"FENNER (R RI)",10,"R"
"MATHEWSON (R RI)",10,"R"
"GAILLARD (R SC)",10,"R"
"SUMTER (R SC)",10,"R"
"SMITH (R TN)",10,"R"
"ANDERSON (R TN)",10,"R"
"BRADLEY (R VT)",10,"R"
"ROBINSON (R VT)",10,"R"
"GILES (R VA)",10,"R"
"MOORE (R VA)",10,"R"
"GOODRICH (Federalist CT)",11,"Federalist"
"HILLHOUSE (Federalist CT)",11,"Federalist"
"DANA (Federalist CT)",11,"Federalist"
"BAYARD (Federalist DE)",11,"Federalist"
"WHITE (Federalist DE)",11,"Federalist"
"HORSEY (Federalist DE)",11,"Federalist"
"CRAWFORD (R GA)",11,"R"
"MILLEDGE (R GA)",11,"R"
"TAIT (R GA)",11,"R"
"POPE (R KY)",11,"R"
"THRUSTON (R KY)",11,"R"
"CLAY (R KY)",11,"R"
"SMITH (R MD)",11,"R"
"REED (R MD)",11,"R"
"PICKERING (Federalist MA)",11,"Federalist"
"LLOYD (Federalist MA)",11,"Federalist"
"GILMAN (R NH)",11,"R"
"PARKER (R NH)",11,"R"
"CUTTS (R NH)",11,"R"
"LAMBERT (R NJ)",11,"R"
"CONDIT (R NJ)",11,"R"
"SMITH (R NY)",11,"R"
"GERMAN (R NY)",11,"R"
"FRANKLIN (R NC)",11,"R"
"TURNER (R NC)",11,"R"
"MEIGS (R OH)",11,"R"
"GRISWOLD (R OH)",11,"R"
"CAMPBELL (R OH)",11,"R"
"WORTHINGTON (R OH)",11,"R"
"GREGG (R PA)",11,"R"
"LEIB (R PA)",11,"R"
"MATHEWSON (R RI)",11,"R"
"MALBONE (Federalist RI)",11,"Federalist"
"CHAMPLIN (Federalist RI)",11,"Federalist"
"GAILLARD (R SC)",11,"R"
"SUMTER (R SC)",11,"R"
"TAYLOR (R SC)",11,"R"
"ANDERSON (R TN)",11,"R"
"SMITH (R TN)",11,"R"
"WHITESIDE (R TN)",11,"R"
"BRADLEY (R VT)",11,"R"
"ROBINSON (R VT)",11,"R"
"GILES (R VA)",11,"R"
"BRENT (R VA)",11,"R"
"GOODRICH (Federalist CT)",12,"Federalist"
"DANA (Federalist CT)",12,"Federalist"
"HORSEY (Federalist DE)",12,"Federalist"
"BAYARD (Federalist DE)",12,"Federalist"
"CRAWFORD (R GA)",12,"R"
"TAIT (R GA)",12,"R"
"POPE (R KY)",12,"R"
"BIBB (R KY)",12,"R"
"MAGRUDER (R LA)",12,"R"
"POSEY (R LA)",12,"R"
"BROWN (R LA)",12,"R"
"SMITH (R MD)",12,"R"
"REED (R MD)",12,"R"
"LLOYD (Federalist MA)",12,"Federalist"
"VARNUM (R MA)",12,"R"
"CUTTS (R NH)",12,"R"
"GILMAN (R NH)",12,"R"
"LAMBERT (R NJ)",12,"R"
"CONDIT (R NJ)",12,"R"
"SMITH (R NY)",12,"R"
"GERMAN (R NY)",12,"R"
"FRANKLIN (R NC)",12,"R"
"TURNER (R NC)",12,"R"
"WORTHINGTON (R OH)",12,"R"
"CAMPBELL (R OH)",12,"R"
"LEIB (R PA)",12,"R"
"GREGG (R PA)",12,"R"
"HOWELL (R RI)",12,"R"
"HUNTER (Federalist RI)",12,"Federalist"
"GAILLARD (R SC)",12,"R"
"TAYLOR (R SC)",12,"R"
"ANDERSON (R TN)",12,"R"
"CAMPBELL (R TN)",12,"R"
"ROBINSON (R VT)",12,"R"
"BRADLEY (R VT)",12,"R"
"GILES (R VA)",12,"R"
"BRENT (R VA)",12,"R"
"DANA (Federalist CT)",13,"Federalist"
"DAGGETT (Federalist CT)",13,"Federalist"
"WELLS (Federalist DE)",13,"Federalist"
"HORSEY (Federalist DE)",13,"Federalist"
"TAIT (R GA)",13,"R"
"BULLOCH (R GA)",13,"R"
"BIBB (R GA)",13,"R"
"BLEDSOE (R KY)",13,"R"
"BIBB (R KY)",13,"R"
"WALKER (R KY)",13,"R"
"TALBOT (R KY)",13,"R"
"BARRY (R KY)",13,"R"
"FROMENTIN (R LA)",13,"R"
"BROWN (R LA)",13,"R"
"GOLDSBOROUG (Federalist MD)",13,"Federalist"
"SMITH (R MD)",13,"R"
"VARNUM (R MA)",13,"R"
"GORE (Federalist MA)",13,"Federalist"
"CUTTS (R NH)",13,"R"
"GILMAN (R NH)",13,"R"
"THOMPSON (Federalist NH)",13,"Federalist"
"MASON (Federalist NH)",13,"Federalist"
"CONDIT (R NJ)",13,"R"
"LAMBERT (R NJ)",13,"R"
"GERMAN (R NY)",13,"R"
"KING (Federalist NY)",13,"Federalist"
"TURNER (R NC)",13,"R"
"STONE (R NC)",13,"R"
"MORROW (R OH)",13,"R"
"WORTHINGTON (R OH)",13,"R"
"KERR (R OH)",13,"R"
"LACOCK (R PA)",13,"R"
"LEIB (R PA)",13,"R"
"ROBERTS (R PA)",13,"R"
"HOWELL (R RI)",13,"R"
"HUNTER (Federalist RI)",13,"Federalist"
"TAYLOR (R SC)",13,"R"
"GAILLARD (R SC)",13,"R"
"ANDERSON (R TN)",13,"R"
"CAMPBELL (R TN)",13,"R"
"WHARTON (R TN)",13,"R"
"ROBINSON (R VT)",13,"R"
"CHASE (R VT)",13,"R"
"GILES (R VA)",13,"R"
"BRENT (R VA)",13,"R"
"BARBOUR (R VA)",13,"R"
"DANA (Federalist CT)",14,"Federalist"
"DAGGETT (Federalist CT)",14,"Federalist"
"HORSEY (Federalist DE)",14,"Federalist"
"WELLS (Federalist DE)",14,"Federalist"
"TAIT (R GA)",14,"R"
"BIBB (R GA)",14,"R"
"TROUP (R GA)",14,"R"
"TAYLOR (R IN)",14,"R"
"NOBLE (R IN)",14,"R"
"TALBOT (R KY)",14,"R"
"BARRY (R KY)",14,"R"
"HARDIN (Federalist KY)",14,"Federalist"
"BROWN (R LA)",14,"R"
"FROMENTIN (R LA)",14,"R"
"GOLDSBOROUG (Federalist MD)",14,"Federalist"
"HARPER (Federalist MD)",14,"Federalist"
"HANSON (Federalist MD)",14,"Federalist"
"VARNUM (R MA)",14,"R"
"GORE (Federalist MA)",14,"Federalist"
"ASHMUN (Federalist MA)",14,"Federalist"
"THOMPSON (Federalist NH)",14,"Federalist"
"MASON (Federalist NH)",14,"Federalist"
"WILSON (R NJ)",14,"R"
"CONDIT (R NJ)",14,"R"
"KING (Federalist NY)",14,"Federalist"
"SANFORD (R NY)",14,"R"
"TURNER (R NC)",14,"R"
"STOKES (R NC)",14,"R"
"MACON (R NC)",14,"R"
"RUGGLES (R OH)",14,"R"
"MORROW (R OH)",14,"R"
"ROBERTS (R PA)",14,"R"
"LACOCK (R PA)",14,"R"
"HUNTER (Federalist RI)",14,"Federalist"
"HOWELL (R RI)",14,"R"
"GAILLARD (R SC)",14,"R"
"TAYLOR (R SC)",14,"R"
"SMITH (R SC)",14,"R"
"CAMPBELL (R TN)",14,"R"
"WILLIAMS (R TN)",14,"R"
"TICHENOR (Federalist VT)",14,"Federalist"
"CHASE (R VT)",14,"R"
"BARBOUR (R VA)",14,"R"
"MASON (R VA)",14,"R"
"DANA (Federalist CT)",15,"Federalist"
"DAGGETT (Federalist CT)",15,"Federalist"
"HORSEY (Federalist DE)",15,"Federalist"
"VANDYKE (Federalist DE)",15,"Federalist"
"TAIT (R GA)",15,"R"
"TROUP (R GA)",15,"R"
"FORSYTH (R GA)",15,"R"
"EDWARDS (R IL)",15,"R"
"THOMAS (R IL)",15,"R"
"TAYLOR (R IN)",15,"R"
"NOBLE (R IN)",15,"R"
"TALBOT (R KY)",15,"R"
"CRITTENDEN (R KY)",15,"R"
"FROMENTIN (R LA)",15,"R"
"JOHNSON (R LA)",15,"R"
"GOLDSBOROUG (Federalist MD)",15,"Federalist"
"HANSON (Federalist MD)",15,"Federalist"
"OTIS (Federalist MA)",15,"Federalist"
"ASHMUN (Federalist MA)",15,"Federalist"
"MELLEN (Federalist MA)",15,"Federalist"
"WILLIAMS (R MS)",15,"R"
"LEAKE (R MS)",15,"R"
"MORRIL (R NH)",15,"R"
"STORER (R NH)",15,"R"
"DICKERSON (R NJ)",15,"R"
"WILSON (R NJ)",15,"R"
"SANFORD (R NY)",15,"R"
"KING (Federalist NY)",15,"Federalist"
"STOKES (R NC)",15,"R"
"MACON (R NC)",15,"R"
"RUGGLES (R OH)",15,"R"
"MORROW (R OH)",15,"R"
"ROBERTS (R PA)",15,"R"
"LACOCK (R PA)",15,"R"
"BURRILL (Federalist RI)",15,"Federalist"
"HUNTER (Federalist RI)",15,"Federalist"
"GAILLARD (R SC)",15,"R"
"SMITH (R SC)",15,"R"
"WILLIAMS (R TN)",15,"R"
"CAMPBELL (R TN)",15,"R"
"EATON (R TN)",15,"R"
"TICHENOR (Federalist VT)",15,"Federalist"
"FISK (R VT)",15,"R"
"PALMER (R VT)",15,"R"
"EPPES (R VA)",15,"R"
"BARBOUR (R VA)",15,"R"
"WALKER (R AL)",16,"R"
"KING (R AL)",16,"R"
"LANMAN (R CT)",16,"R"
"DANA (Federalist CT)",16,"Federalist"
"HORSEY (Federalist DE)",16,"Federalist"
"VANDYKE (Federalist DE)",16,"Federalist"
"WALKER (R GA)",16,"R"
"ELLIOTT (R GA)",16,"R"
"EDWARDS (R IL)",16,"R"
"THOMAS (R IL)",16,"R"
"TAYLOR (R IN)",16,"R"
"NOBLE (R IN)",16,"R"
"JOHNSON (R KY)",16,"R"
"LOGAN (R KY)",16,"R"
"TALBOT (R KY)",16,"R"
"BROWN (R LA)",16,"R"
"JOHNSON (R LA)",16,"R"
"CHANDLER (R ME)",16,"R"
"HOLMES (R ME)",16,"R"
"LLOYD (R MD)",16,"R"
"PINKNEY (R MD)",16,"R"
"OTIS (Federalist MA)",16,"Federalist"
"MELLEN (Federalist MA)",16,"Federalist"
"MILLS (Federalist MA)",16,"Federalist"
"WILLIAMS (R MS)",16,"R"
"LEAKE (R MS)",16,"R"
"HOLMES (R MS)",16,"R"
"PARROTT (R NH)",16,"R"
"MORRIL (R NH)",16,"R"
"DICKERSON (R NJ)",16,"R"
"WILSON (R NJ)",16,"R"
"SOUTHARD (R NJ)",16,"R"
"KING (Federalist NY)",16,"Federalist"
"SANFORD (R NY)",16,"R"
"STOKES (R NC)",16,"R"
"MACON (R NC)",16,"R"
"RUGGLES (R OH)",16,"R"
"TRIMBLE (R OH)",16,"R"
"ROBERTS (R PA)",16,"R"
"LOWRIE (R PA)",16,"R"
"HUNTER (Federalist RI)",16,"Federalist"
"BURRILL (Federalist RI)",16,"Federalist"
"KNIGHT (R RI)",16,"R"
"GAILLARD (R SC)",16,"R"
"SMITH (R SC)",16,"R"
"EATON (R TN)",16,"R"
"WILLIAMS (R TN)",16,"R"
"TICHENOR (Federalist VT)",16,"Federalist"
"PALMER (R VT)",16,"R"
"BARBOUR (R VA)",16,"R"
"PLEASANTS (R VA)",16,"R"
"KING (R AL)",17,"R"
"WALKER (R AL)",17,"R"
"KELLY (R AL)",17,"R"
"LANMAN (R CT)",17,"R"
"BOARDMAN (R CT)",17,"R"
"VANDYKE (Federalist DE)",17,"Federalist"
"RODNEY (R DE)",17,"R"
"ELLIOTT (R GA)",17,"R"
"WARE (R GA)",17,"R"
"EDWARDS (R IL)",17,"R"
"THOMAS (R IL)",17,"R"
"NOBLE (R IN)",17,"R"
"TAYLOR (R IN)",17,"R"
"TALBOT (R KY)",17,"R"
"JOHNSON (R KY)",17,"R"
"JOHNSON (R LA)",17,"R"
"BROWN (R LA)",17,"R"
"HOLMES (R ME)",17,"R"
"CHANDLER (R ME)",17,"R"
"LLOYD (R MD)",17,"R"
"PINKNEY (R MD)",17,"R"
"SMITH (R MD)",17,"R"
"MILLS (Federalist MA)",17,"Federalist"
"OTIS (Federalist MA)",17,"Federalist"
"LLOYD (Federalist MA)",17,"Federalist"
"HOLMES (R MS)",17,"R"
"WILLIAMS (R MS)",17,"R"
"BENTON (R MO)",17,"R"
"BARTON (R MO)",17,"R"
"MORRIL (R NH)",17,"R"
"PARROTT (R NH)",17,"R"
"DICKERSON (R NJ)",17,"R"
"SOUTHARD (R NJ)",17,"R"
"KING (Federalist NY)",17,"Federalist"
"VANBUREN (R NY)",17,"R"
"MACON (R NC)",17,"R"
"STOKES (R NC)",17,"R"
"RUGGLES (R OH)",17,"R"
"TRIMBLE (R OH)",17,"R"
"BROWN (R OH)",17,"R"
"FINDLAY (R PA)",17,"R"
"LOWRIE (R PA)",17,"R"
"KNIGHT (R RI)",17,"R"
"DEWOLF (R RI)",17,"R"
"SMITH (R SC)",17,"R"
"GAILLARD (R SC)",17,"R"
"EATON (R TN)",17,"R"
"WILLIAMS (R TN)",17,"R"
"SEYMOUR (R VT)",17,"R"
"PALMER (R VT)",17,"R"
"BARBOUR (R VA)",17,"R"
